species,x,y
estast,-8.54193,41.2058
estast,-8.2086,41.2058
estast,-8.12527,41.2058
estast,-7.79193,41.2058
estast,-7.7086,41.2058
estast,-7.54193,41.2058
estast,-7.37527,41.2058
estast,-7.12527,41.2058
estast,-7.04193,41.2058
estast,-6.9586,41.2058
estast,1.37473,41.2058
estast,1.5414,41.2058
estast,-8.62527,41.1225
estast,-8.54193,41.1225
estast,-8.37527,41.1225
estast,-8.29193,41.1225
estast,-7.87527,41.1225
estast,-7.79193,41.1225
estast,-7.7086,41.1225
estast,-7.62527,41.1225
estast,-7.54193,41.1225
estast,-7.37527,41.1225
estast,-7.2086,41.1225
estast,-7.12527,41.1225
estast,-6.9586,41.1225
estast,1.20807,41.1225
estast,-7.79193,41.0391
estast,-7.12527,41.0391
estast,-7.04193,41.0391
estast,-6.9586,41.0391
estast,-6.87527,41.0391
estast,-8.62527,40.9558
estast,-8.29193,40.9558
estast,-8.62527,40.8725
estast,-8.4586,40.8725
estast,-8.04193,40.8725
estast,-8.62527,40.7891
estast,-8.54193,40.7891
estast,-8.4586,40.7891
estast,-8.12527,40.7891
estast,-7.79193,40.7891
estast,-8.62527,40.7058
estast,-8.54193,40.7058
estast,-8.12527,40.7058
estast,-8.7086,40.6225
estast,-8.62527,40.6225
estast,-8.54193,40.6225
estast,-8.12527,40.6225
estast,-8.04193,40.6225
estast,-7.9586,40.6225
estast,-7.87527,40.6225
estast,-7.79193,40.6225
estast,-7.7086,40.6225
estast,-7.54193,40.6225
estast,-7.4586,40.6225
estast,-7.37527,40.6225
estast,-8.7086,40.5391
estast,-8.62527,40.5391
estast,-8.54193,40.5391
estast,-8.04193,40.5391
estast,-7.79193,40.5391
estast,-7.62527,40.5391
estast,-7.54193,40.5391
estast,-8.79193,40.4558
estast,-8.7086,40.4558
estast,-8.62527,40.4558
estast,-7.7086,40.4558
estast,-7.62527,40.4558
estast,-7.54193,40.4558
estast,-8.54193,40.3725
estast,-8.4586,40.3725
estast,-8.04193,40.3725
estast,-7.9586,40.3725
estast,-7.29193,40.3725
estast,0.374734,40.3725
estast,-8.79193,40.2891
estast,-8.54193,40.2891
estast,-8.4586,40.2891
estast,-8.37527,40.2891
estast,-8.7086,40.2058
estast,-8.62527,40.2058
estast,-8.54193,40.2058
estast,-8.4586,40.2058
estast,-8.29193,40.2058
estast,-8.04193,40.2058
estast,-7.9586,40.2058
estast,-7.4586,40.2058
estast,-5.9586,40.2058
estast,-8.79193,40.1225
estast,-8.7086,40.1225
estast,-8.62527,40.1225
estast,-8.54193,40.1225
estast,-8.4586,40.1225
estast,-8.29193,40.1225
estast,-8.2086,40.1225
estast,-8.12527,40.1225
estast,-7.12527,40.1225
estast,-7.04193,40.1225
estast,-8.7086,40.0391
estast,-8.62527,40.0391
estast,-8.54193,40.0391
estast,-8.4586,40.0391
estast,-8.37527,40.0391
estast,-8.87527,39.9558
estast,-8.7086,39.9558
estast,-8.37527,39.9558
estast,-7.4586,39.9558
estast,-7.2086,39.9558
estast,-7.12527,39.9558
estast,-5.29193,39.9558
estast,-0.291933,39.9558
estast,-0.208599,39.9558
estast,-0.0419328,39.9558
estast,-8.9586,39.8725
estast,-8.87527,39.8725
estast,-8.62527,39.8725
estast,-8.54193,39.8725
estast,-8.4586,39.8725
estast,-8.37527,39.8725
estast,-8.12527,39.8725
estast,-7.29193,39.8725
estast,-7.2086,39.8725
estast,-7.12527,39.8725
estast,-5.7086,39.8725
estast,-0.125266,39.8725
estast,-8.87527,39.7891
estast,-8.79193,39.7891
estast,-8.54193,39.7891
estast,-8.4586,39.7891
estast,-8.29193,39.7891
estast,-8.04193,39.7891
estast,-6.04193,39.7891
estast,-0.291933,39.7891
estast,-0.208599,39.7891
estast,3.0414,39.7891
estast,3.12473,39.7891
estast,-8.87527,39.7058
estast,-8.79193,39.7058
estast,-8.7086,39.7058
estast,-8.62527,39.7058
estast,-8.54193,39.7058
estast,-8.4586,39.7058
estast,-8.37527,39.7058
estast,-8.29193,39.7058
